date,pd_type,pd_count
2023-12-06,qpnotes,4751
2023-12-06,briefingt,101036
2023-12-06,ati_all,167060
2023-12-06,reclassification,11084
2023-12-06,dac,2882
2023-12-06,grants,949373
2023-12-06,reclassification_nil,838
2023-12-06,travelq,92242
2023-12-06,contractsa,395
2023-12-06,transition,69
2023-12-06,parliament_report,352
2023-12-06,transition_deputy,46
2023-12-06,wrongdoing,47
2023-12-06,contracts_nil,74
2023-12-06,travelq_nil,1962
2023-12-06,hospitalityq,22667
2023-12-05,adminaircraft,20
2023-12-05,grants,949374
2023-12-05,hospitalityq,22667
2023-12-05,transition_deputy,46
2023-12-05,reclassification,11084
2023-12-05,qpnotes,4751
2023-12-05,ati_all,166932
2023-12-05,contractsa,395
2023-12-05,travelq_nil,1962
2023-12-05,travela,482
2023-12-05,transition,69
2023-12-05,ati_nil,2879
2023-12-05,parliament_committee_deputy,227
2023-12-05,dac,2882
2023-12-05,reclassification_nil,838
2023-12-05,briefingt,100972
2023-12-05,grants_nil,167
2023-12-05,travelq,92242
2023-12-05,parliament_committee,267
2023-12-05,contracts,1036970
2023-12-05,contracts_nil,74
2023-12-05,hospitalityq_nil,3208
2023-12-05,parliament_report,352
2023-12-05,wrongdoing,47
2023-12-04,briefingt,100967
2023-12-04,transition_deputy,46
2023-12-04,qpnotes,4751
2023-12-04,parliament_committee_deputy,227
2023-12-04,adminaircraft,20
2023-12-04,parliament_committee,266
2023-12-04,transition,69
2023-12-04,hospitalityq_nil,3205
2023-12-04,dac,2882
2023-12-04,wrongdoing,47
2023-12-04,parliament_report,350
2023-12-04,ati_all,166918
2023-12-04,hospitalityq,22658
2023-12-04,grants,949374
2023-12-04,travelq,92191
2023-12-04,travela,482
2023-12-04,contractsa,395
2023-12-04,contracts,1036952
2023-12-04,reclassification_nil,837
2023-12-04,travelq_nil,1960
2023-12-04,reclassification,11083
2023-12-04,ati_nil,2873
2023-12-04,grants_nil,167
2023-12-04,contracts_nil,74
2023-12-03,travelq_nil,1960
2023-12-03,parliament_committee_deputy,227
2023-12-03,qpnotes,4751
2023-12-03,briefingt,100967
2023-12-03,ati_nil,2873
2023-12-03,contracts,1036952
2023-12-03,parliament_committee,266
2023-12-03,travelq,92191
2023-12-03,dac,2882
2023-12-03,hospitalityq_nil,3205
2023-12-03,travela,482
2023-12-03,hospitalityq,22658
2023-12-03,wrongdoing,47
2023-12-03,contractsa,395
2023-12-03,reclassification_nil,837
2023-12-03,transition_deputy,46
2023-12-03,adminaircraft,20
2023-12-03,grants,949374
2023-12-03,reclassification,11083
2023-12-03,transition,69
2023-12-03,grants_nil,167
2023-12-03,parliament_report,350
2023-12-03,contracts_nil,74
2023-12-03,ati_all,166918
2023-12-02,travelq,92191
2023-12-02,transition,69
2023-12-02,parliament_committee_deputy,226
2023-12-02,hospitalityq_nil,3205
2023-12-02,travelq_nil,1960
2023-12-02,briefingt,100967
2023-12-02,ati_all,166918
2023-12-02,contracts,1036952
2023-12-02,parliament_committee,266
2023-12-02,adminaircraft,20
2023-12-02,grants_nil,167
2023-12-02,qpnotes,4751
2023-12-02,reclassification,11083
2023-12-02,contracts_nil,74
2023-12-02,travela,482
2023-12-02,parliament_report,347
2023-12-02,wrongdoing,47
2023-12-02,grants,949374
2023-12-02,contractsa,395
2023-12-02,reclassification_nil,837
2023-12-02,ati_nil,2873
2023-12-02,transition_deputy,46
2023-12-02,dac,2882
2023-12-02,hospitalityq,22658
2023-12-01,hospitalityq_nil,3200
2023-12-01,travelq_nil,1959
2023-12-01,ati_all,166893
2023-12-01,briefingt,99811
2023-12-01,wrongdoing,47
2023-12-01,hospitalityq,22525
2023-12-01,dac,2882
2023-12-01,contracts,1036952
2023-12-01,contractsa,394
2023-12-01,travela,482
2023-12-01,parliament_committee,266
2023-12-01,contracts_nil,74
2023-12-01,travelq,91784
2023-12-01,reclassification,11082
2023-12-01,qpnotes,4751
2023-12-01,grants,949374
2023-12-01,parliament_report,348
2023-12-01,reclassification_nil,837
2023-12-01,transition_deputy,46
2023-12-01,grants_nil,167
2023-12-01,transition,69
2023-12-01,adminaircraft,20
2023-12-01,ati_nil,2866
2023-12-01,parliament_committee_deputy,226
2023-11-30,contracts,1036952
2023-11-30,parliament_committee_deputy,226
2023-11-30,parliament_report,346
2023-11-30,dac,2882
2023-11-30,adminaircraft,20
2023-11-30,transition,69
2023-11-30,hospitalityq_nil,3200
2023-11-30,reclassification,11082
2023-11-30,parliament_committee,266
2023-11-30,grants_nil,167
2023-11-30,travelq,91784
2023-11-30,contracts_nil,74
2023-11-30,transition_deputy,46
2023-11-30,travela,482
2023-11-30,travelq_nil,1959
2023-11-30,hospitalityq,22525
2023-11-30,briefingt,99811
2023-11-30,grants,949374
2023-11-30,ati_nil,2847
2023-11-30,contractsa,394
2023-11-30,ati_all,166652
2023-11-30,qpnotes,4751
2023-11-30,wrongdoing,47
2023-11-30,reclassification_nil,837
2023-11-29,contractsa,394
2023-11-29,contracts_nil,74
2023-11-29,parliament_report,346
2023-11-29,hospitalityq,22510
2023-11-29,hospitalityq_nil,3195
2023-11-29,grants_nil,167
2023-11-29,reclassification_nil,837
2023-11-29,ati_nil,2843
2023-11-29,parliament_committee,265
2023-11-29,grants,949374
2023-11-29,briefingt,99300
2023-11-29,travelq_nil,1958
2023-11-29,travela,482
2023-11-29,transition,69
2023-11-29,transition_deputy,46
2023-11-29,contracts,1036726
2023-11-29,qpnotes,4751
2023-11-29,adminaircraft,20
2023-11-29,ati_all,166412
2023-11-29,wrongdoing,46
2023-11-29,parliament_committee_deputy,226
2023-11-29,travelq,91512
2023-11-29,dac,2882
2023-11-29,reclassification,11080
2023-11-28,reclassification_nil,836
2023-11-28,contracts_nil,74
2023-11-28,reclassification,11080
2023-11-28,parliament_report,346
2023-11-28,travela,476
2023-11-28,hospitalityq,22488
2023-11-28,wrongdoing,46
2023-11-28,grants,949374
2023-11-28,contractsa,394
2023-11-28,adminaircraft,20
2023-11-28,transition_deputy,46
2023-11-28,qpnotes,4751
2023-11-28,briefingt,99166
2023-11-28,grants_nil,167
2023-11-28,contracts,1036726
