date,pd_type,pd_count
2024-03-25,hospitalityq,23261
2024-03-25,travela,493
2024-03-25,travelq,96226
2024-03-25,reclassification,11293
2024-03-25,parliament_committee_deputy,270
2024-03-25,contracts,1060250
2024-03-25,parliament_report,382
2024-03-25,reclassification_nil,878
2024-03-25,ati_all,171575
2024-03-25,contractsa,403
2024-03-25,contracts_nil,76
2024-03-25,adminaircraft,20
2024-03-25,dac,3002
2024-03-25,grants,984353
2024-03-24,dac,3002
2024-03-24,travela,493
2024-03-24,transition_deputy,48
2024-03-24,parliament_committee_deputy,270
2024-03-24,contracts,1060264
2024-03-24,ati_all,171575
2024-03-24,hospitalityq,23261
2024-03-24,travelq,96226
2024-03-24,reclassification,11293
2024-03-24,contractsa,403
2024-03-24,ati_nil,3238
2024-03-24,parliament_report,382
2024-03-24,hospitalityq_nil,3373
2024-03-24,transition,70
2024-03-24,briefingt,106331
2024-03-24,reclassification_nil,878
2024-03-24,grants_nil,172
2024-03-24,parliament_committee,279
2024-03-24,travelq_nil,2021
2024-03-24,wrongdoing,48
2024-03-24,adminaircraft,20
2024-03-24,grants,984353
2024-03-24,contracts_nil,76
2024-03-24,qpnotes,5298
2024-03-23,parliament_committee_deputy,269
2024-03-23,ati_all,171575
2024-03-23,ati_nil,3238
2024-03-23,transition_deputy,48
2024-03-23,travela,493
2024-03-23,reclassification,11293
2024-03-23,briefingt,106331
2024-03-23,reclassification_nil,878
2024-03-23,hospitalityq_nil,3373
2024-03-23,wrongdoing,48
2024-03-23,contracts,1060264
2024-03-23,parliament_report,381
2024-03-23,hospitalityq,23261
2024-03-23,qpnotes,5298
2024-03-23,dac,3002
2024-03-23,contracts_nil,76
2024-03-23,parliament_committee,279
2024-03-23,transition,70
2024-03-23,adminaircraft,20
2024-03-23,travelq,96226
2024-03-23,grants_nil,172
2024-03-23,grants,984353
2024-03-23,contractsa,403
2024-03-23,travelq_nil,2021
2024-03-22,adminaircraft,20
2024-03-22,dac,3002
2024-03-22,reclassification_nil,878
2024-03-22,hospitalityq_nil,3369
2024-03-22,grants_nil,172
2024-03-22,parliament_committee_deputy,262
2024-03-22,briefingt,106328
2024-03-22,contracts_nil,76
2024-03-22,travelq_nil,2019
2024-03-22,transition_deputy,48
2024-03-22,reclassification,11293
2024-03-22,travelq,96218
2024-03-22,grants,984353
2024-03-22,transition,70
2024-03-22,contracts,1060275
2024-03-22,contractsa,403
2024-03-22,travela,493
2024-03-22,ati_nil,3235
2024-03-22,wrongdoing,48
2024-03-22,qpnotes,5298
2024-03-22,parliament_committee,279
2024-03-22,parliament_report,379
2024-03-22,ati_all,171561
2024-03-22,hospitalityq,23261
2024-03-21,grants_nil,172
2024-03-21,parliament_report,379
2024-03-21,grants,984352
2024-03-21,ati_all,171504
2024-03-21,reclassification,11293
2024-03-21,parliament_committee,279
2024-03-21,parliament_committee_deputy,262
2024-03-21,contractsa,402
2024-03-21,transition,70
2024-03-21,qpnotes,5298
2024-03-21,travela,493
2024-03-21,wrongdoing,48
2024-03-21,hospitalityq_nil,3367
2024-03-21,adminaircraft,20
2024-03-21,contracts,1059906
2024-03-21,ati_nil,3231
2024-03-21,briefingt,106311
2024-03-21,dac,3002
2024-03-21,travelq,96214
2024-03-21,contracts_nil,76
2024-03-21,reclassification_nil,878
2024-03-21,transition_deputy,48
2024-03-21,travelq_nil,2017
2024-03-21,hospitalityq,23261
2024-03-20,wrongdoing,48
2024-03-20,contractsa,402
2024-03-20,briefingt,106311
2024-03-20,travelq,96194
2024-03-20,hospitalityq,23257
2024-03-20,parliament_committee_deputy,262
2024-03-20,parliament_committee,279
2024-03-20,grants_nil,172
2024-03-20,contracts_nil,76
2024-03-20,travelq_nil,2017
2024-03-20,transition,70
2024-03-20,parliament_report,379
2024-03-20,adminaircraft,20
2024-03-20,reclassification_nil,878
2024-03-20,reclassification,11293
2024-03-20,hospitalityq_nil,3366
2024-03-20,dac,3002
2024-03-20,travela,493
2024-03-20,ati_nil,3228
2024-03-20,qpnotes,5298
2024-03-20,transition_deputy,48
2024-03-20,grants,984352
2024-03-20,ati_all,171487
2024-03-20,contracts,1059896
2024-03-19,grants_nil,172
2024-03-19,contractsa,402
2024-03-19,travelq_nil,2015
2024-03-19,parliament_committee_deputy,261
2024-03-19,contracts,1059896
2024-03-19,wrongdoing,48
2024-03-19,ati_all,171429
2024-03-19,hospitalityq,23256
2024-03-19,qpnotes,5298
2024-03-19,grants,984351
2024-03-19,hospitalityq_nil,3363
2024-03-19,dac,3002
2024-03-19,transition_deputy,48
2024-03-19,adminaircraft,20
2024-03-19,parliament_committee,279
2024-03-19,reclassification_nil,878
2024-03-19,reclassification,11293
2024-03-19,travela,493
2024-03-19,ati_nil,3226
2024-03-19,transition,70
2024-03-19,parliament_report,379
2024-03-19,travelq,96177
2024-03-19,briefingt,106311
2024-03-19,contracts_nil,76
2024-03-18,transition,70
2024-03-18,parliament_committee_deputy,261
2024-03-18,dac,3002
2024-03-18,travela,493
2024-03-18,ati_nil,3226
2024-03-18,contractsa,398
2024-03-18,reclassification,11293
2024-03-18,parliament_committee,279
2024-03-18,grants,984351
2024-03-18,hospitalityq_nil,3361
2024-03-18,contracts,1059888
2024-03-18,grants_nil,172
2024-03-18,transition_deputy,48
2024-03-18,parliament_report,379
2024-03-18,hospitalityq,23256
2024-03-18,adminaircraft,20
2024-03-18,wrongdoing,48
2024-03-18,travelq_nil,2014
2024-03-18,ati_all,171427
2024-03-18,reclassification_nil,877
2024-03-18,travelq,96171
2024-03-18,briefingt,106241
2024-03-18,qpnotes,5298
2024-03-18,contracts_nil,76
2024-03-17,reclassification,11293
2024-03-17,reclassification_nil,877
2024-03-17,transition_deputy,48
2024-03-17,dac,3002
2024-03-17,briefingt,106241
2024-03-17,travelq_nil,2014
2024-03-17,adminaircraft,20
2024-03-17,travela,493
2024-03-17,hospitalityq_nil,3361
2024-03-17,transition,70
2024-03-17,grants,984351
2024-03-17,grants_nil,172
2024-03-17,parliament_report,379
2024-03-17,qpnotes,5298
2024-03-17,travelq,96171
2024-03-17,hospitalityq,23256
2024-03-17,parliament_committee,279
2024-03-17,wrongdoing,48
2024-03-17,parliament_committee_deputy,261
2024-03-17,ati_all,171427
2024-03-17,ati_nil,3226
2024-03-17,contracts_nil,76
2024-03-17,contracts,1059888
2024-03-17,contractsa,398
2024-03-16,parliament_committee_deputy,257
2024-03-16,transition_deputy,48
2024-03-16,travelq,96171
2024-03-16,wrongdoing,48
2024-03-16,hospitalityq_nil,3361
2024-03-16,ati_all,171427
2024-03-16,transition,70
2024-03-16,reclassification,11293
2024-03-16,hospitalityq,23256
2024-03-16,travelq_nil,2014
2024-03-16,travela,493
2024-03-16,contracts_nil,76
2024-03-16,parliament_report,379
2024-03-16,grants,984351
2024-03-16,briefingt,106241
2024-03-16,parliament_committee,279
2024-03-16,contractsa,398
2024-03-16,dac,3002
2024-03-16,qpnotes,5298
2024-03-16,contracts,1059888
2024-03-16,grants_nil,172
2024-03-16,adminaircraft,20
2024-03-16,ati_nil,3226
2024-03-16,reclassification_nil,877
2024-03-15,transition_deputy,48
2024-03-15,reclassification,11293
2024-03-15,adminaircraft,20
2024-03-15,parliament_report,379
2024-03-15,parliament_committee,279
2024-03-15,contracts_nil,76
2024-03-15,ati_all,171427
2024-03-15,dac,3002
2024-03-15,qpnotes,5298
2024-03-15,contracts,1059894
2024-03-15,travela,493
2024-03-15,travelq_nil,2014
2024-03-15,travelq,96171
